runtime,popularity,vote_average,popularity_log
137.0,10.660441,5.8,2.4562020018194772
115.0,77.817571,7.4,4.367135954240493
119.0,7.029308,5.7,2.0830983474083715
118.0,61.121717,6.0,4.12909563795002
98.0,104.121555,6.9,4.655117347244851
92.0,73.575118,7.3,4.311806912699259
98.0,37.698465,6.3,3.6557999351664083
90.0,35.814765,6.4,3.6058989875326173
130.0,15.835672,6.3,2.8234999686562987
90.0,46.781182,6.5,3.866631879975936
94.0,69.457898,6.5,4.255015339938998
114.0,43.348022,7.0,3.792068107986468
98.0,40.20395,5.6,3.7185341255462907
151.0,63.429157,7.9,4.165566279097859
88.0,67.427755,7.6,4.225778517177954
107.0,43.192048,6.5,3.7885448633957344
158.0,47.651083,7.2,3.884674069432545
128.0,51.88107700000001,6.9,3.9680455622044106
128.0,57.834787,7.0,4.074733295615296
125.0,29.608322,5.3,3.4212719327680183
95.0,51.548589,6.7,3.961738246344017
92.0,27.867368,5.8,3.3627118222171553
121.0,38.832842,6.7,3.6846917478993486
113.0,40.597344,5.5,3.728036319075119
105.0,140.849495,5.6,4.954766601149827
146.0,34.035114,6.8,3.5563508157061716
99.0,16.302378,5.2,2.8508439487048327
150.0,55.249433999999994,7.2,4.029795978811682
112.0,28.200874,5.6,3.3741986403331468
128.0,18.69984,6.2,2.9806105138835495
106.0,40.262260999999995,5.9,3.7199483049783497
117.0,56.81105600000001,5.5,4.057180037663409
129.0,51.535701,6.7,3.961492957537011
116.0,20.913852,5.9,3.0871189482869448
126.0,27.166757,6.8,3.3381424527904673
114.0,16.058284,5.7,2.836635950837934
96.0,46.200042,6.5,3.8543947824216223
131.0,24.939295,6.9,3.2557590004156514
104.0,19.836124,5.2,3.036688211103478
107.0,15.350451,5.9,2.7942554810606874
138.0,15.625949,6.1,2.8109646676195292
129.0,31.802807,6.6,3.4905140909966943
144.0,24.100863,7.3,3.2229022280167943
110.0,3.593349,5.4,1.5246093876517894
141.0,14.824166,6.7,2.76153826521967
113.0,32.079995000000004,6.1,3.498928719006749
143.0,57.739713,7.5,4.073116039820506
108.0,37.272385,5.9,3.6447286178511478
108.0,53.213931,7.2,3.9929379049394678
124.0,36.38795,6.2,3.621348459991958
116.0,60.929352,7.2,4.125994251468779
110.0,36.605246,5.6,3.6271435619402563
91.0,56.257411,6.8,4.047557083838108
107.0,29.21998,6.6,3.408503295031006
115.0,34.773106,6.3,3.5771963820424353
100.0,9.895061,5.1,2.388309567279487
104.0,36.743324,5.8,3.6308086123735195
136.0,44.967453000000006,6.7,3.827933602583815
132.0,41.207568,6.7,3.7425995414559905
121.0,16.479851,6.2,2.8610488461636
122.0,42.069993,6.5,3.762826536539886
83.0,26.61951,6.1,3.318522407056217
139.0,80.316463,6.9,4.398348492978999
131.0,41.273567,7.2,3.7441619971078177
104.0,24.107835,6.4,3.2231799488230504
130.0,32.044191,6.1,3.4978457868554456
145.0,16.595874,7.3,2.86766444274249
104.0,8.282876,6.1,2.228171412577853
97.0,19.83683,6.7,3.036722093990689
178.0,36.069611,6.9,3.61279752344694
108.0,18.827753,5.5,2.987082622949407
123.0,5.159407,7.3,1.8179805066777708
106.0,48.126296999999994,5.5,3.894394471876521
112.0,38.885195,7.2,3.6860052024071774
136.0,29.211255,5.4,3.4082145370712977
106.0,17.783361,4.7,2.9329714247535916
88.0,31.435539,5.4,3.4792547043780306
95.0,57.67393199999999,6.6,4.07199553961148
107.0,41.176631,6.0,3.7418662998834518
120.0,13.661289000000002,6.7,2.6852106189233624
82.0,11.77398,4.9,2.5474102894578836
88.0,21.218000000000004,5.9,3.100902771159531
120.0,58.57976,6.5,4.087315919079641
157.0,51.970905,7.3,3.9697428005530195
123.0,18.447479,5.7,2.967717447267897
101.0,109.68478799999998,6.4,4.706686413831256
103.0,77.58066099999998,6.0,4.364125625904555
110.0,75.290998,6.7,4.334554949678653
142.0,68.550698,6.9,4.242055954264456
102.0,58.040149,6.2,4.078217704001769
126.0,59.113174,6.6,4.096229018851175
83.0,36.32705,6.3,3.619718264890921
85.0,55.659988,7.1,4.037068282612726
97.0,14.132583,5.8,2.7168502336521922
120.0,34.070054,5.9,3.557347603928489
116.0,44.34333,6.4,3.8142630874640306
113.0,26.065735,6.2,3.298268536724834
87.0,23.473004,5.4,3.197570632486281
100.0,45.589568,5.8,3.8413766534096703
